r	boost_fr	poly_fr
3.17	0.0477668		0.00277479
3.18	0.0472492		0.0024386
3.19	0.0467375		0.00212414
3.2	0.0462317		0.00183141
3.21	0.0457316		0.0015604
3.22	0.0452372		0.0013111
3.23	0.0447485		0.0010835
3.24	0.0442654		0.000877594
3.25	0.0437877		0.00069338
3.26	0.0433155		0.000530851
3.27	0.0428486		0.000390001
3.28	0.042387		0.000270827
3.29	0.0419307		0.000173326
3.3	0.0414795		9.74942e-05
3.31	0.0410335		4.33303e-05
3.32	0.0405925		1.08325e-05
3.33	0.0401564		0
3.34	0.0397253		0
3.35	0.0392991		0
3.36	0.0388776		0
3.37	0.038461		0
3.38	0.038049		0
3.39	0.0376416		0
3.4	0.0372388		0
3.41	0.0368405		0
3.42	0.0364467		0
3.43	0.0360573		0
3.44	0.0356723		0
3.45	0.0352916		0
3.46	0.0349152		0
3.47	0.0345429		0
3.48	0.0341748		0
3.49	0.0338108		0
3.5	0.0334509		0
3.51	0.033095		0
3.52	0.032743		0
3.53	0.032395		0
3.54	0.0320508		0
3.55	0.0317105		0
3.56	0.0313739		0
3.57	0.0310411		0
3.58	0.030712		0
3.59	0.0303865		0
3.6	0.0300646		0
3.61	0.0297463		0
3.62	0.0294315		0
3.63	0.0291201		0
3.64	0.0288123		0
3.65	0.0285078		0
3.66	0.0282066		0
3.67	0.0279088		0
3.68	0.0276143		0
3.69	0.027323		0
3.7	0.0270349		0
3.71	0.02675		0
3.72	0.0264682		0
3.73	0.0261894		0
3.74	0.0259138		0
3.75	0.0256412		0
3.76	0.0253715		0
3.77	0.0251048		0
3.78	0.0248411		0
3.79	0.0245802		0
3.8	0.0243221		0
3.81	0.0240669		0
3.82	0.0238145		0
3.83	0.0235648		0
3.84	0.0233179		0
3.85	0.0230736		0
3.86	0.022832		0
3.87	0.022593		0
3.88	0.0223566		0
3.89	0.0221228		0
3.9	0.0218915		0
3.91	0.0216628		0
3.92	0.0214365		0
3.93	0.0212127		0
3.94	0.0209913		0
3.95	0.0207723		0
3.96	0.0205556		0
3.97	0.0203413		0
3.98	0.0201294		0
3.99	0.0199197		0
4	0.0197123		0
4.01	0.0195071		0
4.02	0.0193041		0
4.03	0.0191033		0
4.04	0.0189047		0
4.05	0.0187083		0
4.06	0.0185139		0
4.07	0.0183216		0
4.08	0.0181314		0
4.09	0.0179433		0
4.1	0.0177571		0
4.11	0.017573		0
4.12	0.0173908		0
4.13	0.0172106		0
4.14	0.0170324		0
4.15	0.016856		0
4.16	0.0166815		0
4.17	0.0165089		0
4.18	0.0163381		0
4.19	0.0161692		0
4.2	0.0160021		0
4.21	0.0158367		0
4.22	0.0156732		0
4.23	0.0155113		0
4.24	0.0153512		0
4.25	0.0151928		0
4.26	0.0150361		0
4.27	0.0148811		0
4.28	0.0147277		0
4.29	0.0145759		0
4.3	0.0144257		0
4.31	0.0142772		0
4.32	0.0141302		0
4.33	0.0139848		0
4.34	0.0138409		0
4.35	0.0136986		0
4.36	0.0135578		0
4.37	0.0134184		0
4.38	0.0132806		0
4.39	0.0131442		0
4.4	0.0130092		0
4.41	0.0128757		0
4.42	0.0127436		0
4.43	0.0126128		0
4.44	0.0124835		0
4.45	0.0123555		0
4.46	0.0122289		0
4.47	0.0121036		0
4.48	0.0119797		0
4.49	0.011857		0
4.5	0.0117356		0
4.51	0.0116156		0
4.52	0.0114967		0
4.53	0.0113792		0
4.54	0.0112628		0
4.55	0.0111477		0
4.56	0.0110338		0
4.57	0.0109211		0
4.58	0.0108096		0
4.59	0.0106993		0
4.6	0.0105901		0
4.61	0.010482		0
4.62	0.0103751		0
4.63	0.0102693		0
4.64	0.0101647		0
4.65	0.0100611		0
4.66	0.00995858		0
4.67	0.00985715		0
4.68	0.00975679		0
4.69	0.00965747		0
4.7	0.0095592		0
4.71	0.00946195		0
4.72	0.00936572		0
4.73	0.00927049		0
4.74	0.00917626		0
4.75	0.00908301		0
4.76	0.00899073		0
4.77	0.00889942		0
4.78	0.00880905		0
4.79	0.00871963		0
4.8	0.00863114		0
4.81	0.00854357		0
4.82	0.00845692		0
4.83	0.00837116		0
4.84	0.0082863		0
4.85	0.00820232		0
4.86	0.00811921		0
4.87	0.00803696		0
4.88	0.00795557		0
4.89	0.00787503		0
4.9	0.00779532		0
4.91	0.00771643		0
4.92	0.00763837		0
4.93	0.00756112		0
4.94	0.00748466		0
4.95	0.007409		0
4.96	0.00733412		0
4.97	0.00726002		0
4.98	0.00718668		0
4.99	0.0071141		0
5	0.00704227		0
5.01	0.00697119		0
5.02	0.00690084		0
